run,champion,runner_up
30991,Argentina,France
30992,Spain,Argentina
30993,Argentina,France
30994,Argentina,France
30995,France,England
30996,Argentina,France
30997,Spain,Argentina
30998,Argentina,France
30999,Argentina,Spain
31000,France,Argentina
31001,France,Argentina
31002,France,England
31003,Spain,Argentina
31004,Argentina,France
31005,Argentina,France
31006,France,Argentina
31007,France,Argentina
31008,Argentina,France
31009,France,Argentina
31010,Argentina,France
31011,Argentina,France
31012,Argentina,Spain
31013,Argentina,Spain
31014,Argentina,France
31015,Spain,Argentina
31016,Argentina,France
31017,Argentina,France
31018,France,Argentina
31019,France,Argentina
31020,France,Argentina
31021,France,Argentina
31022,France,Argentina
31023,Spain,Argentina
31024,Argentina,France
31025,France,Argentina
31026,France,Argentina
31027,France,Argentina
31028,Argentina,France
31029,France,Argentina
31030,Argentina,Spain
31031,Argentina,France
31032,Argentina,France
31033,Argentina,France
31034,England,France
31035,Spain,Argentina
31036,Argentina,Spain
31037,Argentina,France
31038,Argentina,France
31039,Argentina,Spain
31040,Spain,Argentina
31041,Argentina,France
31042,Argentina,Spain
31043,England,France
31044,France,Argentina
31045,Argentina,France
31046,Argentina,France
31047,France,Argentina
31048,France,Argentina
31049,Spain,England
31050,Argentina,Spain
31051,Argentina,France
31052,Argentina,France
31053,Spain,England
31054,Spain,Argentina
31055,France,England
31056,Argentina,Spain
31057,France,Argentina
31058,France,England
31059,Spain,Argentina
31060,Argentina,Spain
31061,France,Argentina
31062,Argentina,France
31063,Argentina,France
31064,Argentina,France
31065,Spain,England
31066,France,England
31067,Argentina,Spain
31068,France,Argentina
31069,Spain,England
31070,Argentina,Spain
31071,England,Spain
31072,Argentina,France
31073,Spain,Argentina
31074,France,Argentina
31075,Spain,Argentina
31076,Argentina,Spain
31077,England,Spain
31078,Argentina,France
31079,Argentina,Spain
31080,Argentina,Spain
31081,Argentina,France
31082,Spain,Argentina
31083,Argentina,Spain
31084,France,England
31085,Argentina,Spain
31086,France,Argentina
31087,Argentina,France
31088,Spain,Argentina
31089,Argentina,Spain
31090,Argentina,Spain
31091,Argentina,France
31092,France,Argentina
31093,Argentina,France
31094,Argentina,France
31095,England,France
31096,Spain,England
31097,Argentina,France
31098,Spain,Argentina
31099,France,England
31100,Spain,Argentina
31101,Argentina,Spain
31102,Argentina,France
31103,Argentina,France
31104,Argentina,Spain
31105,Spain,Argentina
31106,Argentina,France
31107,France,Argentina
31108,Argentina,France
31109,England,France
31110,Spain,Argentina
31111,Argentina,France
31112,France,Argentina
31113,Argentina,Spain
31114,Argentina,France
31115,France,Argentina
31116,Argentina,Spain
31117,Argentina,Spain
31118,Argentina,France
31119,France,Argentina
31120,England,France
31121,Argentina,Spain
31122,Spain,Argentina
31123,Argentina,France
31124,Argentina,France
31125,France,Argentina
31126,Argentina,Spain
31127,Argentina,France
31128,Argentina,Spain
31129,Argentina,France
31130,Argentina,France
31131,Argentina,France
31132,Argentina,Spain
31133,France,Argentina
31134,Spain,Argentina
31135,France,England
31136,Argentina,Spain
31137,Spain,Argentina
31138,Argentina,Spain
31139,Spain,Argentina
31140,France,Argentina
31141,Spain,Argentina
31142,Argentina,Spain
31143,Argentina,France
31144,Argentina,France
31145,Argentina,Spain
31146,Spain,Argentina
31147,Spain,Argentina
31148,Argentina,France
31149,Argentina,Spain
31150,Argentina,Spain
31151,France,Argentina
31152,Argentina,France
31153,Argentina,Spain
31154,Argentina,Spain
31155,Spain,England
31156,France,Argentina
31157,France,Argentina
31158,Spain,Argentina
31159,France,Argentina
31160,France,Argentina
31161,France,England
31162,Spain,Argentina
31163,Argentina,France
31164,Argentina,Spain
31165,Argentina,France
31166,England,France
31167,Argentina,France
31168,France,Argentina
31169,Argentina,France
31170,Argentina,France
31171,Spain,Argentina
31172,Argentina,France
31173,Spain,Argentina
31174,Argentina,Spain
31175,Spain,Argentina
31176,Argentina,France
31177,Argentina,Spain
31178,Argentina,Spain
31179,France,England
31180,France,Argentina
31181,Argentina,France
31182,Argentina,Spain
31183,Spain,Argentina
31184,Argentina,Spain
31185,Argentina,France
31186,France,Argentina
31187,Spain,Argentina
31188,Argentina,France
31189,France,Argentina
31190,Argentina,France
31191,Spain,Argentina
31192,Argentina,Spain
31193,France,Argentina
31194,France,Argentina
31195,Argentina,France
31196,Argentina,France
31197,Argentina,Spain
31198,Argentina,France
31199,Spain,Argentina
31200,Spain,Argentina
31201,Argentina,France
31202,Argentina,France
31203,Argentina,Spain
31204,France,Argentina
31205,Argentina,France
31206,Argentina,France
31207,Spain,England
31208,Argentina,Spain
31209,France,Argentina
31210,Argentina,France
31211,France,Argentina
31212,France,England
31213,France,Argentina
31214,Argentina,France
31215,Argentina,France
31216,France,Argentina
31217,France,England
31218,Argentina,Spain
31219,Argentina,Spain
31220,Spain,Argentina
31221,France,Argentina
31222,Argentina,Spain
31223,Spain,Argentina
31224,Argentina,Spain
31225,Argentina,France
31226,England,Spain
31227,Argentina,France
31228,France,Argentina
31229,Argentina,Spain
31230,France,England
31231,Argentina,Spain
31232,England,Spain
31233,France,Argentina
31234,Argentina,Spain
31235,Spain,Argentina
31236,Argentina,Spain
31237,Argentina,France
31238,Argentina,Spain
31239,France,Argentina
31240,Argentina,Spain
31241,France,Argentina
31242,Argentina,Spain
31243,Spain,Argentina
31244,Argentina,Spain
31245,France,England
31246,Spain,Argentina
31247,Argentina,Spain
31248,Spain,Argentina
31249,France,England
31250,Argentina,France
31251,Argentina,Spain
31252,Argentina,France
31253,Spain,Argentina
31254,France,Argentina
31255,Argentina,Spain
31256,Argentina,France
31257,France,Argentina
31258,Spain,Argentina
31259,Argentina,Spain
31260,Argentina,Spain
31261,Spain,England
31262,Spain,England
31263,Argentina,Spain
31264,Argentina,Spain
31265,Argentina,Spain
31266,Spain,England
31267,Argentina,France
31268,Argentina,France
31269,France,Argentina
31270,Argentina,Spain
31271,Argentina,Spain
31272,Argentina,Spain
31273,Spain,Argentina
31274,Argentina,France
31275,Spain,England
31276,Argentina,France
31277,Argentina,France
31278,England,France
31279,Argentina,France
31280,Argentina,Spain
31281,Argentina,France
31282,Spain,Argentina
31283,Argentina,Spain
31284,Spain,Argentina
31285,Argentina,France
31286,England,France
31287,Spain,Argentina
31288,Argentina,France
31289,Spain,England
31290,Argentina,Spain
31291,Argentina,Spain
31292,Argentina,Spain
31293,Spain,Argentina
31294,Argentina,France
31295,Spain,Argentina
31296,France,England
31297,Argentina,Spain
31298,Argentina,Spain
31299,Spain,England
31300,Argentina,France
31301,Spain,England
31302,Argentina,France
31303,Spain,Argentina
31304,Argentina,France
31305,Argentina,France
31306,Spain,Argentina
31307,Spain,Argentina
31308,France,Argentina
31309,France,Argentina
31310,Spain,Argentina
31311,France,Argentina
31312,Argentina,Spain
31313,France,Argentina
31314,France,England
31315,France,Argentina
31316,Spain,England
31317,England,Spain
31318,France,England
31319,Argentina,Spain
31320,Argentina,France
31321,France,Argentina
31322,Argentina,France
31323,Argentina,France
31324,Argentina,France
31325,Argentina,France
31326,Argentina,Spain
31327,Argentina,France
31328,France,Argentina
31329,Argentina,Spain
31330,Argentina,France
31331,Spain,England
31332,France,England
31333,Argentina,France
31334,Spain,England
31335,France,Argentina
31336,Spain,England
31337,Argentina,Spain
31338,Argentina,Spain
31339,England,France
31340,Argentina,Spain
31341,Argentina,Spain
31342,Spain,Argentina
31343,England,France
31344,Argentina,France
31345,Argentina,France
31346,France,Argentina
31347,Argentina,France
31348,Spain,Argentina
31349,Argentina,France
31350,Spain,Argentina
31351,Argentina,France
31352,Argentina,Spain
31353,Spain,Argentina
31354,Spain,England
31355,France,England
31356,France,Argentina
31357,Spain,Argentina
31358,Spain,Argentina
31359,France,Argentina
31360,Spain,England
31361,England,Spain
31362,Spain,Argentina
31363,Argentina,France
31364,France,England
31365,France,Argentina
31366,Argentina,France
31367,Argentina,France
31368,Argentina,Spain
31369,Argentina,France
31370,Argentina,Spain
31371,Spain,Argentina
31372,France,England
31373,Argentina,Spain
31374,Spain,Argentina
31375,France,England
31376,France,Argentina
31377,Argentina,France
31378,France,England
31379,Argentina,Spain
31380,Spain,Argentina
31381,France,Argentina
31382,France,Argentina
31383,Spain,Argentina
31384,Argentina,France
31385,Spain,England
31386,Argentina,France
31387,France,Argentina
31388,France,Argentina
31389,France,Argentina
31390,Argentina,Spain
31391,Argentina,France
31392,France,Argentina
31393,Argentina,France
31394,France,Argentina
31395,Argentina,France
31396,Argentina,France
31397,Argentina,France
31398,Argentina,Spain
31399,England,France
31400,Argentina,Spain
31401,Argentina,France
31402,Argentina,Spain
31403,Spain,England
31404,Spain,Argentina
31405,Argentina,France
31406,Argentina,Spain
31407,France,England
31408,Argentina,Spain
31409,Argentina,Spain
31410,Argentina,France
31411,Argentina,France
31412,Spain,Argentina
31413,Spain,England
31414,France,Argentina
31415,France,England
31416,Argentina,France
31417,Argentina,France
31418,France,England
31419,Spain,Argentina
31420,Argentina,Spain
31421,Argentina,Spain
31422,Argentina,France
31423,Argentina,France
31424,France,Argentina
31425,Argentina,France
31426,France,Argentina
31427,Spain,England
31428,France,Argentina
31429,Argentina,Spain
31430,Argentina,Spain
31431,Argentina,France
31432,Argentina,France
31433,Spain,Argentina
31434,Spain,Argentina
31435,Spain,Argentina
31436,Spain,Argentina
31437,France,Argentina
31438,England,France
31439,Argentina,France
31440,Spain,Argentina
31441,Argentina,Spain
31442,France,Argentina
31443,Argentina,France
31444,France,England
31445,Argentina,Spain
31446,Spain,Argentina
31447,Argentina,Spain
31448,Argentina,France
31449,Argentina,Spain
31450,Argentina,Spain
31451,Argentina,Spain
31452,Argentina,France
31453,Argentina,Spain
31454,Argentina,France
31455,Argentina,Spain
31456,Spain,England
31457,Argentina,France
31458,England,Spain
31459,Argentina,Spain
31460,Spain,Argentina
31461,France,England
31462,Argentina,France
31463,France,Argentina
31464,Spain,Argentina
31465,Argentina,Spain
31466,Argentina,France
31467,Spain,England
31468,France,Argentina
31469,Argentina,France
31470,Argentina,France
31471,England,France
31472,Spain,Argentina
31473,Argentina,France
31474,Argentina,France
31475,Argentina,Spain
31476,Spain,England
31477,Argentina,France
31478,Spain,Argentina
31479,Spain,England
31480,Spain,Argentina
31481,Argentina,Spain
31482,Argentina,Spain
31483,France,Argentina
31484,Spain,Argentina
31485,Argentina,Spain
31486,France,Argentina
31487,France,England
31488,Argentina,France
31489,Argentina,France
31490,Argentina,France
31491,Argentina,Spain
31492,France,Argentina
31493,Argentina,France
31494,France,Argentina
31495,England,Spain
31496,Argentina,France
31497,Argentina,France
31498,Argentina,France
31499,England,France
31500,France,Argentina
31501,Argentina,Spain
31502,Argentina,Spain
31503,Spain,Argentina
31504,Spain,Argentina
31505,Spain,England
31506,Argentina,France
31507,Argentina,Spain
31508,Spain,England
31509,Argentina,France
31510,Argentina,France
31511,Argentina,France
31512,Argentina,France
31513,France,Argentina
31514,Argentina,Spain
31515,Argentina,Spain
31516,Spain,Argentina
31517,Argentina,Spain
31518,Argentina,France
31519,England,Spain
31520,France,Argentina
31521,England,France
31522,England,Spain
31523,Spain,Argentina
31524,Argentina,Spain
31525,Argentina,Spain
31526,Argentina,France
31527,France,Argentina
31528,Spain,England
31529,Argentina,Spain
31530,Argentina,Spain
31531,England,Spain
31532,Argentina,France
31533,Argentina,France
31534,France,Argentina
31535,France,Argentina
31536,Argentina,France
31537,Argentina,France
31538,Spain,Argentina
31539,France,Argentina
31540,Spain,England
31541,Argentina,France
31542,Argentina,France
31543,Argentina,France
31544,France,England
31545,England,France
31546,England,Spain
31547,Argentina,Spain
31548,Argentina,France
31549,France,England
31550,France,Argentina
31551,Spain,Argentina
31552,Argentina,Spain
31553,France,Argentina
31554,Argentina,France
31555,England,France
31556,France,Argentina
31557,France,England
31558,Spain,Argentina
31559,Argentina,France
31560,Argentina,Spain
31561,France,Argentina
31562,Argentina,France
31563,Argentina,France
31564,France,England
31565,Argentina,Spain
31566,France,Argentina
31567,Spain,Argentina
31568,Argentina,France
31569,Argentina,France
31570,Spain,England
31571,France,Argentina
31572,Argentina,France
31573,Spain,England
31574,Argentina,France
31575,Argentina,France
31576,England,Spain
31577,France,Argentina
31578,Argentina,France
31579,Argentina,Spain
31580,Spain,England
31581,Argentina,Spain
31582,France,Argentina
31583,Argentina,Spain
31584,Spain,Argentina
31585,Argentina,France
31586,Spain,Argentina
31587,Argentina,France
31588,Spain,Argentina
31589,Argentina,Spain
31590,Argentina,France
31591,Argentina,France
31592,Argentina,France
31593,Argentina,France
31594,Spain,England
31595,France,Argentina
31596,Argentina,Spain
31597,Argentina,Spain
31598,Spain,Argentina
31599,France,Argentina
31600,Argentina,France
31601,Argentina,Spain
31602,Spain,Argentina
31603,Argentina,France
31604,Spain,Argentina
31605,England,Spain
31606,Argentina,France
31607,England,France
31608,Argentina,Spain
31609,Argentina,France
31610,Argentina,France
31611,France,Argentina
31612,Spain,England
31613,England,France
31614,Spain,England
31615,Argentina,France
31616,Argentina,France
31617,France,Argentina
31618,Spain,Argentina
31619,Argentina,Spain
31620,Argentina,France
31621,Argentina,Spain
31622,Spain,England
31623,Argentina,Spain
31624,Argentina,France
31625,France,Argentina
31626,France,England
31627,France,England
31628,France,Argentina
31629,Argentina,France
31630,France,Argentina
31631,Argentina,France
31632,Spain,England
31633,Argentina,France
31634,France,Argentina
31635,Argentina,Spain
31636,England,Spain
31637,England,Spain
31638,Spain,Argentina
31639,Argentina,Spain
31640,Argentina,Spain
31641,Argentina,France
31642,France,Argentina
31643,France,England
31644,Argentina,France
31645,Spain,England
31646,Spain,Argentina
31647,Spain,Argentina
31648,Argentina,France
31649,France,England
31650,France,Argentina
31651,Argentina,Spain
31652,Spain,Argentina
31653,Argentina,France
31654,France,England
31655,Argentina,France
31656,England,Spain
31657,France,England
31658,Argentina,Spain
31659,Spain,Argentina
31660,France,Argentina
31661,Argentina,France
31662,France,Argentina
31663,France,Argentina
31664,Spain,England
31665,Spain,Argentina
31666,France,Argentina
31667,Argentina,Spain
31668,France,Argentina
31669,Spain,Argentina
31670,France,Argentina
31671,Spain,Argentina
31672,France,Argentina
31673,Argentina,France
31674,Argentina,France
31675,France,Argentina
31676,Argentina,Spain
31677,Spain,Argentina
31678,France,Argentina
31679,Argentina,France
31680,Spain,Argentina
31681,England,Spain
31682,Argentina,France
31683,Argentina,France
31684,France,Argentina
31685,Argentina,France
31686,Argentina,Spain
31687,France,Argentina
31688,Spain,Argentina
31689,England,Spain
31690,Argentina,France
31691,Argentina,Spain
31692,Argentina,Spain
31693,Argentina,Spain
31694,Argentina,Spain
31695,Spain,Argentina
31696,Spain,Argentina
31697,Spain,Argentina
31698,Argentina,France
31699,France,Argentina
31700,England,Spain
31701,Spain,Argentina
31702,Spain,Argentina
31703,Argentina,France
31704,Argentina,France
31705,Argentina,Spain
31706,France,Argentina
31707,Spain,Argentina
31708,Argentina,Spain
31709,France,Argentina
31710,Spain,Argentina
31711,Argentina,Spain
31712,Argentina,France
31713,Spain,Argentina
31714,Argentina,France
31715,England,France
31716,Argentina,Spain
31717,France,Argentina
31718,France,Argentina
31719,Argentina,France
31720,France,Argentina
31721,Argentina,France
31722,France,Argentina
31723,Spain,Argentina
31724,Argentina,France
31725,Argentina,Spain
31726,Argentina,Spain
31727,Argentina,France
31728,Argentina,Spain
31729,Argentina,France
31730,Argentina,Spain
31731,Spain,England
31732,Argentina,France
31733,Argentina,Spain
31734,Argentina,France
31735,Argentina,France
31736,Argentina,Spain
31737,Argentina,Spain
31738,Spain,Argentina
31739,France,England
31740,Argentina,France
31741,Argentina,France
31742,France,Argentina
31743,Argentina,France
31744,France,Argentina
31745,Argentina,Spain
31746,Argentina,Spain
31747,France,Argentina
31748,Argentina,France
31749,Argentina,France
31750,Argentina,Spain
31751,France,Argentina
31752,Spain,Argentina
31753,France,England
31754,Argentina,France
31755,France,England
31756,Argentina,Spain
31757,Argentina,Spain
31758,France,Argentina
31759,Argentina,France
31760,Argentina,France
31761,Argentina,Spain
31762,Argentina,France
31763,France,Argentina
31764,France,England
31765,Argentina,Spain
31766,Spain,Argentina
31767,France,England
31768,Spain,Argentina
31769,Argentina,Spain
31770,Argentina,France
31771,Argentina,France
31772,Spain,England
31773,Spain,Argentina
31774,France,Argentina
31775,Argentina,France
31776,France,England
31777,France,Argentina
31778,Argentina,Spain
31779,Argentina,France
31780,Argentina,Spain
31781,Argentina,France
31782,Argentina,France
31783,France,Argentina
31784,Argentina,France
31785,Spain,Argentina
31786,Spain,Argentina
31787,Spain,Argentina
31788,France,England
31789,Argentina,France
31790,Argentina,Spain
31791,France,Argentina
31792,Argentina,France
31793,Spain,Argentina
31794,France,Argentina
31795,Argentina,France
31796,Argentina,Spain
31797,England,Spain
31798,Argentina,France
31799,Argentina,Spain
31800,France,Argentina
31801,Argentina,France
31802,France,Argentina
31803,Argentina,Spain
31804,France,Argentina
31805,Argentina,France
31806,France,England
31807,France,Argentina
31808,Argentina,France
31809,Argentina,Spain
31810,Argentina,France
31811,Argentina,Spain
31812,Spain,Argentina
31813,Spain,Argentina
31814,Argentina,Spain
31815,Argentina,France
31816,France,Argentina
31817,Argentina,France
31818,France,Argentina
31819,France,Argentina
31820,Argentina,Spain
31821,England,Spain
31822,Argentina,Spain
31823,Argentina,France
31824,France,Argentina
31825,Argentina,France
31826,Argentina,France
31827,France,Argentina
31828,Argentina,France
31829,Argentina,Spain
31830,Spain,Argentina
31831,Argentina,Spain
31832,Argentina,Spain
31833,Argentina,Spain
31834,France,England
31835,Argentina,Spain
31836,England,France
31837,Argentina,Spain
31838,England,Spain
31839,France,Argentina
31840,Argentina,France
31841,France,Argentina
31842,Argentina,Spain
31843,Argentina,Spain
31844,Spain,Argentina
31845,Argentina,France
31846,Argentina,France
31847,France,Argentina
31848,Argentina,Spain
31849,Argentina,France
31850,France,Argentina
31851,France,England
31852,England,Spain
31853,Spain,England
31854,Argentina,Spain
31855,England,Spain
31856,Argentina,France
31857,Argentina,France
31858,England,Spain
31859,France,Argentina
31860,France,Argentina
31861,Argentina,Spain
31862,France,Argentina
31863,Argentina,Spain
31864,Argentina,France
31865,France,Argentina
31866,Argentina,France
31867,France,Argentina
31868,England,France
31869,Argentina,Spain
31870,Spain,Argentina
31871,Argentina,Spain
31872,Argentina,Spain
31873,France,Argentina
31874,France,Argentina
31875,France,Argentina
31876,Spain,Argentina
31877,France,England
31878,France,England
31879,Spain,England
31880,Argentina,France
31881,Argentina,Spain
31882,France,Argentina
31883,Argentina,Spain
31884,France,Argentina
31885,England,Spain
31886,Spain,Argentina
31887,France,Argentina
31888,France,Argentina
31889,Argentina,Spain
31890,Argentina,Spain
31891,Argentina,France
31892,Argentina,Spain
31893,Argentina,France
31894,Argentina,France
31895,Argentina,Spain
31896,Argentina,France
31897,France,Argentina
31898,Argentina,France
31899,Argentina,France
31900,Argentina,Spain
31901,France,England
31902,France,Argentina
31903,Argentina,France
31904,Spain,Argentina
31905,Argentina,France
31906,Argentina,Spain
31907,Argentina,France
31908,Argentina,France
31909,Argentina,Spain
31910,Argentina,Spain
31911,Argentina,France
31912,Argentina,Spain
31913,England,France
31914,Argentina,France
31915,Argentina,France
31916,France,England
31917,Argentina,France
31918,Argentina,France
31919,Argentina,France
31920,Argentina,Spain
31921,Argentina,Spain
31922,France,England
31923,Argentina,France
31924,Argentina,Spain
31925,Argentina,Spain
31926,Spain,Argentina
31927,Spain,Argentina
31928,Argentina,Spain
31929,France,Argentina
31930,Spain,Argentina
31931,Spain,Argentina
31932,Argentina,Spain
31933,Argentina,France
31934,France,England
31935,Spain,Argentina
31936,France,England
31937,Spain,England
31938,France,Argentina
31939,Argentina,France
31940,France,Argentina
31941,Spain,England
31942,France,England
31943,Argentina,France
31944,Spain,Argentina
31945,Argentina,France
31946,Spain,Argentina
31947,Spain,Argentina
31948,Argentina,France
31949,Spain,Argentina
31950,Argentina,France
31951,Argentina,Spain
31952,France,England
31953,Argentina,Spain
31954,Argentina,Spain
31955,Argentina,France
31956,Argentina,France
31957,Argentina,France
31958,Spain,England
31959,Argentina,Spain
31960,Argentina,Spain
31961,France,Argentina
31962,Spain,Argentina
31963,Argentina,France
31964,Argentina,France
31965,Spain,Argentina
31966,France,Argentina
31967,Argentina,France
31968,England,France
31969,England,France
31970,Argentina,Spain
31971,Argentina,France
31972,Argentina,France
31973,Spain,England
31974,Argentina,France
31975,Spain,Argentina
31976,Argentina,Spain
31977,Argentina,France
31978,Argentina,France
31979,Argentina,France
31980,Argentina,Spain
31981,France,Argentina
31982,Argentina,France
31983,England,France
31984,Argentina,France
31985,Argentina,Spain
31986,Spain,Argentina
31987,Argentina,Spain
31988,Argentina,Spain
31989,Argentina,Spain
31990,France,Argentina
31991,France,Argentina
31992,Argentina,France
31993,Argentina,France
31994,Argentina,France
31995,Spain,Argentina
31996,England,Spain
31997,Spain,Argentina
31998,France,Argentina
31999,Argentina,France
32000,Argentina,France
32001,Spain,Argentina
32002,France,England
32003,France,Argentina
32004,Argentina,France
32005,Argentina,France
32006,Argentina,France
32007,Argentina,Spain
32008,Argentina,France
32009,France,Argentina
32010,Argentina,Spain
32011,Spain,Argentina
32012,Argentina,Spain
32013,Argentina,France
32014,Argentina,Spain
32015,Argentina,France
32016,Argentina,France
32017,Argentina,Spain
32018,Spain,Argentina
32019,Argentina,Spain
32020,Argentina,Spain
32021,Spain,Argentina
32022,France,Argentina
32023,Spain,Argentina
32024,Spain,Argentina
32025,Argentina,France
32026,France,England
32027,Argentina,Spain
32028,Argentina,Spain
32029,Argentina,Spain
32030,Argentina,Spain
32031,France,Argentina
32032,Spain,Argentina
32033,Spain,Argentina
32034,Argentina,Spain
32035,Spain,Argentina
32036,Argentina,France
32037,Argentina,Spain
32038,Spain,Argentina
32039,Spain,Argentina
32040,France,Argentina
32041,Argentina,France
32042,England,France
32043,France,Argentina
32044,France,England
32045,Spain,England
32046,Argentina,France
32047,Argentina,Spain
32048,Spain,England
32049,France,England
32050,Spain,Argentina
32051,France,Argentina
32052,France,England
32053,France,Argentina
32054,Argentina,Spain
32055,Argentina,Spain
32056,Argentina,France
32057,Argentina,France
32058,Argentina,Spain
32059,Argentina,France
32060,Argentina,Spain
32061,Argentina,France
32062,Spain,England
32063,France,Argentina
32064,Argentina,Spain
32065,Spain,Argentina
32066,Spain,England
32067,France,Argentina
32068,England,Spain
32069,Argentina,Spain
32070,Argentina,Spain
32071,Argentina,Spain
32072,Argentina,Spain
32073,Argentina,France
32074,France,England
32075,France,Argentina
32076,Spain,England
32077,Argentina,Spain
32078,France,England
32079,Argentina,Spain
32080,Argentina,Spain
32081,France,Argentina
32082,England,France
32083,Argentina,France
32084,Argentina,France
32085,Argentina,Spain
32086,Argentina,France
32087,France,Argentina
32088,Argentina,Spain
32089,Argentina,Spain
32090,Argentina,Spain
32091,France,Argentina
32092,Argentina,France
32093,Spain,Argentina
32094,England,Spain
32095,England,Spain
32096,France,Argentina
32097,Spain,England
32098,Spain,England
32099,Argentina,Spain
32100,Argentina,France
32101,Argentina,France
32102,Argentina,Spain
32103,France,Argentina
32104,France,Argentina
32105,Argentina,France
32106,Argentina,Spain
32107,Argentina,Spain
32108,France,England
32109,Argentina,Spain
32110,Argentina,Spain
32111,France,Argentina
32112,France,Argentina
32113,France,Argentina
32114,France,Argentina
32115,Argentina,France
32116,France,Argentina
32117,Argentina,Spain
32118,Argentina,France
32119,France,Argentina
32120,Spain,Argentina
32121,Spain,Argentina
32122,Argentina,Spain
32123,Argentina,Spain
32124,Argentina,Spain
32125,Argentina,Spain
32126,Argentina,France
32127,Argentina,France
32128,Spain,England
32129,Argentina,France
32130,France,Argentina
32131,Spain,Argentina
32132,Spain,Argentina
32133,Argentina,France
32134,Argentina,Spain
32135,France,Argentina
32136,Argentina,France
32137,Argentina,France
32138,Argentina,France
32139,France,Argentina
32140,France,Argentina
32141,Argentina,France
32142,Spain,England
32143,Spain,Argentina
32144,Argentina,France
32145,Argentina,France
32146,Argentina,France
32147,France,England
32148,Spain,Argentina
32149,France,Argentina
32150,France,Argentina
32151,France,Argentina
32152,France,Argentina
32153,Argentina,Spain
32154,Argentina,France
32155,Spain,Argentina
32156,Argentina,France
32157,France,Argentina
32158,Argentina,France
32159,Spain,Argentina
32160,Argentina,France
32161,Spain,Argentina
32162,Spain,Argentina
32163,Argentina,France
32164,France,Argentina
32165,Spain,Argentina
32166,Argentina,Spain
32167,France,Argentina
32168,Argentina,Spain
32169,France,England
32170,England,France
32171,England,Spain
32172,Spain,Argentina
32173,Argentina,Spain
32174,France,Argentina
32175,Argentina,Spain
32176,Argentina,Spain
32177,Spain,England
32178,England,France
32179,Argentina,France
32180,France,Argentina
32181,France,Argentina
32182,Argentina,Spain
32183,Argentina,Spain
32184,France,Argentina
32185,France,England
32186,France,England
32187,Argentina,Spain
32188,France,Argentina
32189,Argentina,France
32190,Argentina,France
32191,Argentina,Spain
32192,Argentina,Spain
32193,Argentina,France
32194,Argentina,Spain
32195,Spain,England
32196,France,Argentina
32197,Argentina,France
32198,Spain,Argentina
32199,France,Argentina
32200,France,Argentina
32201,France,Argentina
32202,Argentina,Spain
32203,Argentina,France
32204,France,Argentina
32205,Argentina,France
32206,Spain,England
32207,Argentina,Spain
32208,Argentina,Spain
32209,Argentina,Spain
32210,Argentina,France
32211,Argentina,France
32212,Argentina,Spain
32213,Argentina,Spain
32214,Argentina,France
32215,Argentina,Spain
32216,Argentina,France
32217,Argentina,Spain
32218,France,Argentina
32219,Spain,Argentina
32220,Argentina,France
32221,Argentina,France
32222,Argentina,France
32223,Argentina,France
32224,France,Argentina
32225,Spain,Argentina
32226,Argentina,France
32227,England,Spain
32228,Spain,Argentina
32229,Argentina,France
32230,France,England
32231,Argentina,Spain
32232,Argentina,France
32233,Argentina,Spain
32234,Argentina,Spain
32235,Argentina,France
32236,Argentina,Spain
32237,Argentina,France
32238,Spain,England
32239,France,Argentina
32240,Argentina,Spain
32241,Argentina,France
32242,Argentina,Spain
32243,Argentina,Spain
32244,Spain,Argentina
32245,France,Argentina
32246,Argentina,France
32247,England,France
32248,Argentina,France
32249,Argentina,Spain
32250,France,Argentina
32251,Argentina,France
32252,France,England
32253,Argentina,France
32254,Argentina,France
32255,France,Argentina
32256,Argentina,France
32257,Argentina,France
32258,Argentina,France
32259,Argentina,Spain
32260,Argentina,Spain
32261,Argentina,France
32262,Argentina,Spain
32263,Argentina,Spain
32264,France,Argentina
32265,Argentina,France
32266,Spain,Argentina
32267,Argentina,France
32268,Argentina,France
32269,Argentina,Spain
32270,Argentina,France
32271,France,Argentina
32272,France,Argentina
32273,France,Argentina
32274,France,Argentina
32275,Argentina,France
32276,Spain,Argentina
32277,Argentina,Spain
32278,Spain,Argentina
32279,France,Argentina
32280,Argentina,Spain
32281,Argentina,Spain
32282,Spain,England
32283,England,France
32284,Spain,Argentina
32285,France,Argentina
32286,Argentina,Spain
32287,France,England
32288,Argentina,Spain
32289,France,England
32290,France,England
32291,Argentina,France
32292,Argentina,Spain
32293,Argentina,Spain
32294,Spain,Argentina
32295,Argentina,France
32296,Argentina,Spain
32297,Argentina,Spain
32298,France,Argentina
32299,France,England
32300,Argentina,France
32301,Argentina,France
32302,Argentina,Spain
32303,France,Argentina
32304,England,France
32305,Spain,Argentina
32306,Spain,Argentina
32307,France,Argentina
32308,Argentina,Spain
32309,Spain,England
32310,France,Argentina
32311,Argentina,France
32312,France,Argentina
32313,England,France
32314,Argentina,France
32315,Spain,England
32316,Argentina,France
32317,Argentina,Spain
32318,Argentina,Spain
32319,France,Argentina
32320,England,France
32321,France,Argentina
32322,Argentina,Spain
32323,Argentina,Spain
32324,England,Spain
32325,Spain,Argentina
32326,Spain,England
32327,Argentina,France
32328,Argentina,Spain
32329,Spain,Argentina
32330,Argentina,France
32331,France,England
32332,Argentina,France
